Patron,Address,latitude,longitude,Family size,Village,Photo
Izmarg_Res#14,Izmarg_Res#14_Addr,34.65315668244694,74.68223455987152,10,Izmarg,photos/Izmarg_Res14_Izmarg.jpeg
Izmarg_Res#15,Izmarg_Res#15_Addr,34.65967429352813,74.68011785176026,4,Izmarg,photos/Izmarg_Res15_Izmarg.jpeg
Izmarg_Res#16,Izmarg_Res#16_Addr,34.656494879413984,74.68770879929774,5,Izmarg,photos/Izmarg_Res16_Izmarg.jpeg
Izmarg_Res#17,Izmarg_Res#17_Addr,34.65201626813066,74.68104064348066,8,Izmarg,photos/Izmarg_Res17_Izmarg.jpeg
Izmarg_Res#18,Izmarg_Res#18_Addr,34.65246857187582,74.68480314800942,1,Izmarg,photos/Izmarg_Res18_Izmarg.jpeg
Izmarg_Res#19,Izmarg_Res#19_Addr,34.65699990107605,74.68377165068655,6,Izmarg,photos/Izmarg_Res19_Izmarg.jpeg
Izmarg_Res#20,Izmarg_Res#20_Addr,34.65645509356048,74.68831263322542,7,Izmarg,photos/Izmarg_Res20_Izmarg.jpeg
Izmarg_Res#21,Izmarg_Res#21_Addr,34.65656779130007,74.68453451557696,3,Izmarg,photos/Izmarg_Res21_Izmarg.jpeg
Izmarg_Res#22,Izmarg_Res#22_Addr,34.654981187425854,74.6831945608871,1,Izmarg,photos/Izmarg_Res22_Izmarg.jpeg
Izmarg_Res#23,Izmarg_Res#23_Addr,34.65503642868609,74.68445762775755,1,Izmarg,photos/Izmarg_Res23_Izmarg.jpeg
Izmarg_Res#24,Izmarg_Res#24_Addr,34.65740653694143,74.68943849843082,2,Izmarg,photos/Izmarg_Res24_Izmarg.jpeg
Izmarg_Res#25,Izmarg_Res#25_Addr,34.659567050538556,74.67833104701828,3,Izmarg,photos/Izmarg_Res25_Izmarg.jpeg
Izmarg_Res#26,Izmarg_Res#26_Addr,34.652648080753174,74.68793969219308,10,Izmarg,photos/Izmarg_Res26_Izmarg.jpeg
Izmarg_Res#27,Izmarg_Res#27_Addr,34.65481283110515,74.6861733749343,3,Izmarg,photos/Izmarg_Res27_Izmarg.jpeg
Izmarg_Res#28,Izmarg_Res#28_Addr,34.65470588109531,74.6793449211939,1,Izmarg,photos/Izmarg_Res28_Izmarg.jpeg
Izmarg_Res#29,Izmarg_Res#29_Addr,34.65934867517357,74.68680697096602,9,Izmarg,photos/Izmarg_Res29_Izmarg.jpeg
Izmarg_Res#30,Izmarg_Res#30_Addr,34.659595971276914,74.68638004551555,10,Izmarg,photos/Izmarg_Res30_Izmarg.jpeg
Kazalwan_Res#1,Kazalwan_Res#1_Addr,34.644847808416515,74.69876296127144,6,Kazalwan,photos/Kazalwan_Res1_Kazalwan.jpeg
Kazalwan_Res#2,Kazalwan_Res#2_Addr,34.64577250158841,74.69925567838311,5,Kazalwan,photos/Kazalwan_Res2_Kazalwan.jpeg
Kazalwan_Res#3,Kazalwan_Res#3_Addr,34.6440287346068,74.6992925627913,4,Kazalwan,photos/Kazalwan_Res3_Kazalwan.jpeg
Kazalwan_Res#4,Kazalwan_Res#4_Addr,34.64571157773439,74.70033867829902,2,Kazalwan,photos/Kazalwan_Res4_Kazalwan.jpeg
Kazalwan_Res#5,Kazalwan_Res#5_Addr,34.64436845514666,74.69864544195971,7,Kazalwan,photos/Kazalwan_Res5_Kazalwan.jpeg
Kazalwan_Res#6,Kazalwan_Res#6_Addr,34.64560420274921,74.69990866326586,4,Kazalwan,photos/Kazalwan_Res6_Kazalwan.jpeg
Kazalwan_Res#7,Kazalwan_Res#7_Addr,34.64374064666179,74.69810655864715,2,Kazalwan,photos/Kazalwan_Res7_Kazalwan.jpeg
Kazalwan_Res#8,Kazalwan_Res#8_Addr,34.64635676952189,74.7008435755227,3,Kazalwan,photos/Kazalwan_Res8_Kazalwan.jpeg
Kazalwan_Res#9,Kazalwan_Res#9_Addr,34.64727914751801,74.69789923757523,2,Kazalwan,photos/Kazalwan_Res9_Kazalwan.jpeg
Achoora_Res#10,Kazalwan_Res#10_Addr,34.647647613371355,74.70013803563124,5,Kazalwan,photos/Achoora_Res10_Kazalwan.jpeg
Kazalwan_Res#11,Kazalwan_Res#11_Addr,34.6443169334089,74.70009634594494,2,Kazalwan,photos/Kazalwan_Res11_Kazalwan.jpeg
Kazalwan_Res#12,Kazalwan_Res#12_Addr,34.643159796603214,74.7025260457493,2,Kazalwan,photos/Kazalwan_Res12_Kazalwan.jpeg
Kazalwan_Res#13,Kazalwan_Res#13_Addr,34.64676293582849,74.70384108054543,5,Kazalwan,photos/Kazalwan_Res13_Kazalwan.jpeg
Kazalwan_Res#14,Kazalwan_Res#14_Addr,34.64651237251405,74.70472206558034,6,Kazalwan,photos/Kazalwan_Res14_Kazalwan.jpeg
Kazalwan_Res#15,Kazalwan_Res#15_Addr,34.64393187753357,74.69972414875501,2,Kazalwan,photos/Kazalwan_Res15_Kazalwan.jpeg
Kazalwan_Res#16,Kazalwan_Res#16_Addr,34.64692788274145,74.69966421133152,4,Kazalwan,photos/Kazalwan_Res16_Kazalwan.jpeg
Kazalwan_Res#17,Kazalwan_Res#17_Addr,34.643832000011024,74.70273508648367,3,Kazalwan,photos/Kazalwan_Res17_Kazalwan.jpeg
Kazalwan_Res#18,Kazalwan_Res#18_Addr,34.64631026318793,74.69806361362143,4,Kazalwan,photos/Kazalwan_Res18_Kazalwan.jpeg
Kazalwan_Res#19,Kazalwan_Res#19_Addr,34.64537891109748,74.70250794054117,5,Kazalwan,photos/Kazalwan_Res19_Kazalwan.jpeg
Kazalwan_Res#20,Kazalwan_Res#20_Addr,34.64700897608777,74.69890721662009,2,Kazalwan,photos/Kazalwan_Res20_Kazalwan.jpeg
Kazalwan_Res#21,Kazalwan_Res#21_Addr,34.642988052718465,74.69928061020082,6,Kazalwan,photos/Kazalwan_Res21_Kazalwan.jpeg
Kazalwan_Res#22,Kazalwan_Res#22_Addr,34.642897177337126,74.70122923653538,3,Kazalwan,photos/Kazalwan_Res22_Kazalwan.jpeg
Kazalwan_Res#23,Kazalwan_Res#23_Addr,34.64331364293114,74.7000422180756,7,Kazalwan,photos/Kazalwan_Res23_Kazalwan.jpeg
Kazalwan_Res#24,Kazalwan_Res#24_Addr,34.64436860765711,74.69876909314348,5,Kazalwan,photos/Kazalwan_Res24_Kazalwan.jpeg
Kazalwan_Res#25,Kazalwan_Res#25_Addr,34.64409244271036,74.70067661510821,6,Kazalwan,photos/Kazalwan_Res25_Kazalwan.jpeg
Kazalwan_Res#26,Kazalwan_Res#26_Addr,34.64486521340662,74.70051127006089,7,Kazalwan,photos/Kazalwan_Res26_Kazalwan.jpeg
Kazalwan_Res#27,Kazalwan_Res#27_Addr,34.646328104734955,74.70497567719812,6,Kazalwan,photos/Kazalwan_Res27_Kazalwan.jpeg
Kazalwan_Res#28,Kazalwan_Res#28_Addr,34.64642459006514,74.70291341025394,3,Kazalwan,photos/Kazalwan_Res28_Kazalwan.jpeg
Kazalwan_Res#29,Kazalwan_Res#29_Addr,34.64367797779823,74.70470174445668,6,Kazalwan,photos/Kazalwan_Res29_Kazalwan.jpeg
Kazalwan_Res#30,Kazalwan_Res#30_Addr,34.64642718731459,74.6977815544401,6,Kazalwan,photos/Kazalwan_Res30_Kazalwan.jpeg
Kazalwan_Res#31,Kazalwan_Res#31_Addr,34.642520341862124,74.70157912040996,3,Kazalwan,photos/Kazalwan_Res31_Kazalwan.jpeg
Kazalwan_Res#32,Kazalwan_Res#32_Addr,34.642898420273475,74.70113539094213,4,Kazalwan,photos/Kazalwan_Res32_Kazalwan.jpeg
Kazalwan_Res#33,Kazalwan_Res#33_Addr,34.64758447869484,74.70050688205197,4,Kazalwan,photos/Kazalwan_Res33_Kazalwan.jpeg
Kazalwan_Res#34,Kazalwan_Res#34_Addr,34.64588502843451,74.6992697524814,6,Kazalwan,photos/Kazalwan_Res34_Kazalwan.jpeg
Kazalwan_Res#35,Kazalwan_Res#35_Addr,34.64308166724597,74.70185896845189,4,Kazalwan,photos/Kazalwan_Res35_Kazalwan.jpeg
Kazalwan_Res#36,Kazalwan_Res#36_Addr,34.644797223340085,74.70001856329884,3,Kazalwan,photos/Kazalwan_Res36_Kazalwan.jpeg
Kazalwan_Res#37,Kazalwan_Res#37_Addr,34.64559295437857,74.70518783470952,6,Kazalwan,photos/Kazalwan_Res37_Kazalwan.jpeg
Kazalwan_Res#38,Kazalwan_Res#38_Addr,34.6445893577124,74.69924083841228,4,Kazalwan,photos/Kazalwan_Res38_Kazalwan.jpeg
Kazalwan_Res#39,Kazalwan_Res#39_Addr,34.64693686754628,74.70416826197484,4,Kazalwan,photos/Kazalwan_Res39_Kazalwan.jpeg
Kazalwan_Res#40,Kazalwan_Res#40_Addr,34.643943831281874,74.70294503117466,4,Kazalwan,photos/Kazalwan_Res40_Kazalwan.jpeg
Khandyal_Res#1,Khandyal_Res#1_Addr,34.646762266301764,74.77364685928181,8,Khandyal,photos/Khandyal_Res1_Khandyal.jpeg
Khandyal_Res#2,Khandyal_Res#2_Addr,34.649914917903004,74.77956895549913,9,Khandyal,photos/Khandyal_Res2_Khandyal.jpeg
Khandyal_Res#3,Khandyal_Res#3_Addr,34.64867436071596,74.78084425173856,7,Khandyal,photos/Khandyal_Res3_Khandyal.jpeg
Khandyal_Res#4,Khandyal_Res#4_Addr,34.645340121767354,74.7876433191518,3,Khandyal,photos/Khandyal_Res4_Khandyal.jpeg
Khandyal_Res#5,Khandyal_Res#5_Addr,34.6486832389498,74.78501141488734,2,Khandyal,photos/Khandyal_Res5_Khandyal.jpeg
Khandyal_Res#6,Khandyal_Res#6_Addr,34.646150164063805,74.78258899861049,9,Khandyal,photos/Khandyal_Res6_Khandyal.jpeg
Khandyal_Res#7,Khandyal_Res#7_Addr,34.64965173866533,74.78015639496253,10,Khandyal,photos/Khandyal_Res7_Khandyal.jpeg
Khandyal_Res#8,Khandyal_Res#8_Addr,34.64984144780253,74.77987406372566,2,Khandyal,photos/Khandyal_Res8_Khandyal.jpeg
Khandyal_Res#9,Khandyal_Res#9_Addr,34.64696943985137,74.77794507832971,6,Khandyal,photos/Khandyal_Res9_Khandyal.jpeg
Achoora_Res#10,Khandyal_Res#10_Addr,34.65046918450964,74.7797749905865,5,Khandyal,photos/Achoora_Res10_Khandyal.jpeg
Khandyal_Res#11,Khandyal_Res#11_Addr,34.64366838782917,74.7783947943162,5,Khandyal,photos/Khandyal_Res11_Khandyal.jpeg
Khandyal_Res#12,Khandyal_Res#12_Addr,34.64989222487094,74.77557757440816,9,Khandyal,photos/Khandyal_Res12_Khandyal.jpeg
Khandyal_Res#13,Khandyal_Res#13_Addr,34.64533882511995,74.78040195655022,9,Khandyal,photos/Khandyal_Res13_Khandyal.jpeg
Khandyal_Res#14,Khandyal_Res#14_Addr,34.64835399716085,74.78495703654175,2,Khandyal,photos/Khandyal_Res14_Khandyal.jpeg
Khandyal_Res#15,Khandyal_Res#15_Addr,34.64411978649477,74.77819390322516,4,Khandyal,photos/Khandyal_Res15_Khandyal.jpeg
Khandyal_Res#16,Khandyal_Res#16_Addr,34.64583513062777,74.7837269581137,9,Khandyal,photos/Khandyal_Res16_Khandyal.jpeg
Khandyal_Res#17,Khandyal_Res#17_Addr,34.64381608909754,74.77844972371601,4,Khandyal,photos/Khandyal_Res17_Khandyal.jpeg
Khandyal_Res#18,Khandyal_Res#18_Addr,34.64619101165188,74.77524416492531,6,Khandyal,photos/Khandyal_Res18_Khandyal.jpeg
Khandyal_Res#19,Khandyal_Res#19_Addr,34.64549426141142,74.78722185089055,6,Khandyal,photos/Khandyal_Res19_Khandyal.jpeg
Khandyal_Res#20,Khandyal_Res#20_Addr,34.65016302286233,74.78032397318192,10,Khandyal,photos/Khandyal_Res20_Khandyal.jpeg
Khandyal_Res#21,Khandyal_Res#21_Addr,34.64901010707811,74.786977003256,8,Khandyal,photos/Khandyal_Res21_Khandyal.jpeg
Khandyal_Res#22,Khandyal_Res#22_Addr,34.648232522169536,74.77233990242998,5,Khandyal,photos/Khandyal_Res22_Khandyal.jpeg
Khandyal_Res#23,Khandyal_Res#23_Addr,34.64567337173841,74.78899909005511,4,Khandyal,photos/Khandyal_Res23_Khandyal.jpeg
Khandyal_Res#24,Khandyal_Res#24_Addr,34.649008139178484,74.78456223797986,9,Khandyal,photos/Khandyal_Res24_Khandyal.jpeg
Khandyal_Res#25,Khandyal_Res#25_Addr,34.64570011384738,74.78082972111142,7,Khandyal,photos/Khandyal_Res25_Khandyal.jpeg
Khandyal_Res#26,Khandyal_Res#26_Addr,34.64707790441489,74.77440997111822,2,Khandyal,photos/Khandyal_Res26_Khandyal.jpeg
Khandyal_Res#27,Khandyal_Res#27_Addr,34.646534205567626,74.78518427205913,4,Khandyal,photos/Khandyal_Res27_Khandyal.jpeg
Khandyal_Res#28,Khandyal_Res#28_Addr,34.647386389259324,74.77397734650111,10,Khandyal,photos/Khandyal_Res28_Khandyal.jpeg
Khandyal_Res#29,Khandyal_Res#29_Addr,34.64973677460654,74.78244141190198,9,Khandyal,photos/Khandyal_Res29_Khandyal.jpeg
Khandyal_Res#30,Khandyal_Res#30_Addr,34.64493865947301,74.78492824797314,3,Khandyal,photos/Khandyal_Res30_Khandyal.jpeg
Khandyal_Res#31,Khandyal_Res#31_Addr,34.6464563555723,74.78611885673124,6,Khandyal,photos/Khandyal_Res31_Khandyal.jpeg
Khandyal_Res#32,Khandyal_Res#32_Addr,34.643721628008215,74.77521263045931,3,Khandyal,photos/Khandyal_Res32_Khandyal.jpeg
Khandyal_Res#33,Khandyal_Res#33_Addr,34.6446174915675,74.77257318894559,2,Khandyal,photos/Khandyal_Res33_Khandyal.jpeg
Khandyal_Res#34,Khandyal_Res#34_Addr,34.649873519939426,74.78091290250421,7,Khandyal,photos/Khandyal_Res34_Khandyal.jpeg
Khandyal_Res#35,Khandyal_Res#35_Addr,34.647461767443644,74.78907451237967,8,Khandyal,photos/Khandyal_Res35_Khandyal.jpeg
Khandyal_Res#36,Khandyal_Res#36_Addr,34.6495553778945,74.78823625198842,4,Khandyal,photos/Khandyal_Res36_Khandyal.jpeg
Khandyal_Res#37,Khandyal_Res#37_Addr,34.6473019921717,74.7865887415742,10,Khandyal,photos/Khandyal_Res37_Khandyal.jpeg
Khandyal_Res#38,Khandyal_Res#38_Addr,34.64966219954362,74.77303490842603,8,Khandyal,photos/Khandyal_Res38_Khandyal.jpeg
Khandyal_Res#39,Khandyal_Res#39_Addr,34.650201577957105,74.78068043164735,4,Khandyal,photos/Khandyal_Res39_Khandyal.jpeg
Khandyal_Res#40,Khandyal_Res#40_Addr,34.64542771893812,74.7733147378473,6,Khandyal,photos/Khandyal_Res40_Khandyal.jpeg
Khandyal_Res#41,Khandyal_Res#41_Addr,34.6488473453447,74.7883553622445,7,Khandyal,photos/Khandyal_Res41_Khandyal.jpeg
Khandyal_Res#42,Khandyal_Res#42_Addr,34.64670613175388,74.78603294842434,4,Khandyal,photos/Khandyal_Res42_Khandyal.jpeg
Khandyal_Res#43,Khandyal_Res#43_Addr,34.65018618496256,74.77153461189928,2,Khandyal,photos/Khandyal_Res43_Khandyal.jpeg
Khandyal_Res#44,Khandyal_Res#44_Addr,34.64976885009181,74.77665775372613,2,Khandyal,photos/Khandyal_Res44_Khandyal.jpeg
Khandyal_Res#45,Khandyal_Res#45_Addr,34.64768681223537,74.77902442745166,6,Khandyal,photos/Khandyal_Res45_Khandyal.jpeg
Khandyal_Res#46,Khandyal_Res#46_Addr,34.644791994390644,74.77534463452376,5,Khandyal,photos/Khandyal_Res46_Khandyal.jpeg
Khandyal_Res#47,Khandyal_Res#47_Addr,34.64913264027133,74.77498175950329,9,Khandyal,photos/Khandyal_Res47_Khandyal.jpeg
Khandyal_Res#48,Khandyal_Res#48_Addr,34.643610119693605,74.7798053823642,3,Khandyal,photos/Khandyal_Res48_Khandyal.jpeg
Khandyal_Res#49,Khandyal_Res#49_Addr,34.64914323921871,74.7800054793737,8,Khandyal,photos/Khandyal_Res49_Khandyal.jpeg
Khandyal_Res#50,Khandyal_Res#50_Addr,34.649073361546215,74.78647018849445,3,Khandyal,photos/Khandyal_Res50_Khandyal.jpeg
Dawar_Res#1,Dawar_Res#1_Addr,34.63314265824924,74.83799106130598,3,Dawar,photos/Dawar_Res1_Dawar.jpeg
Dawar_Res#2,Dawar_Res#2_Addr,34.631327998830855,74.84114779528356,4,Dawar,photos/Dawar_Res2_Dawar.jpeg
Dawar_Res#3,Dawar_Res#3_Addr,34.633130656166784,74.8260704604254,8,Dawar,photos/Dawar_Res3_Dawar.jpeg
Dawar_Res#4,Dawar_Res#4_Addr,34.630795796777804,74.83852143315372,8,Dawar,photos/Dawar_Res4_Dawar.jpeg
Izmarg_Res#5,Dawar_Res#5_Addr,34.632143010141064,74.83065693554144,5,Dawar,photos/Izmarg_Res5_Dawar.jpeg
Dawar_Res#6,Dawar_Res#6_Addr,34.631528274011195,74.83440300383694,4,Dawar,photos/Dawar_Res6_Dawar.jpeg
Dawar_Res#7,Dawar_Res#7_Addr,34.633145135043414,74.83872663556372,7,Dawar,photos/Dawar_Res7_Dawar.jpeg
Dawar_Res#8,Dawar_Res#8_Addr,34.631733549298175,74.83318984739175,6,Dawar,photos/Dawar_Res8_Dawar.jpeg
Dawar_Res#9,Dawar_Res#9_Addr,34.6341827852132,74.83200919269727,3,Dawar,photos/Dawar_Res9_Dawar.jpeg
Dawar_Res#10,Dawar_Res#10_Addr,34.634455677704764,74.82965644266567,3,Dawar,photos/Dawar_Res10_Dawar.jpeg
Dawar_Res#11,Dawar_Res#11_Addr,34.63381664953691,74.83413898395119,8,Dawar,photos/Dawar_Res11_Dawar.jpeg
Dawar_Res#12,Dawar_Res#12_Addr,34.63367168665219,74.8261232314249,8,Dawar,photos/Dawar_Res12_Dawar.jpeg
Dawar_Res#13,Dawar_Res#13_Addr,34.63102155736796,74.84116311242464,5,Dawar,photos/Dawar_Res13_Dawar.jpeg
Dawar_Res#14,Dawar_Res#14_Addr,34.63405568825289,74.83768225342509,8,Dawar,photos/Dawar_Res14_Dawar.jpeg
Dawar_Res#15,Dawar_Res#15_Addr,34.633162379073205,74.828669997267,6,Dawar,photos/Dawar_Res15_Dawar.jpeg
Dawar_Res#16,Dawar_Res#16_Addr,34.63160755516333,74.83738466643706,5,Dawar,photos/Dawar_Res16_Dawar.jpeg
Dawar_Res#17,Dawar_Res#17_Addr,34.63170812214293,74.8373227482735,7,Dawar,photos/Dawar_Res17_Dawar.jpeg
Dawar_Res#18,Dawar_Res#18_Addr,34.63274044440046,74.82820097289073,6,Dawar,photos/Dawar_Res18_Dawar.jpeg
Dawar_Res#19,Dawar_Res#19_Addr,34.63407830036256,74.84181814687159,7,Dawar,photos/Dawar_Res19_Dawar.jpeg
Dawar_Res#20,Dawar_Res#20_Addr,34.63354435315602,74.82850443971903,3,Dawar,photos/Dawar_Res20_Dawar.jpeg
Dawar_Res#21,Dawar_Res#21_Addr,34.631069171096954,74.8407228257419,3,Dawar,photos/Dawar_Res21_Dawar.jpeg
Dawar_Res#22,Dawar_Res#22_Addr,34.63295075070945,74.82774231970028,3,Dawar,photos/Dawar_Res22_Dawar.jpeg
Dawar_Res#23,Dawar_Res#23_Addr,34.63224399191789,74.83286775792799,4,Dawar,photos/Dawar_Res23_Dawar.jpeg
Dawar_Res#24,Dawar_Res#24_Addr,34.63265005200819,74.83542450879386,7,Dawar,photos/Dawar_Res24_Dawar.jpeg
Dawar_Res#25,Dawar_Res#25_Addr,34.63431412641126,74.83070560125479,8,Dawar,photos/Dawar_Res25_Dawar.jpeg
Dawar_Res#26,Dawar_Res#26_Addr,34.632504063884824,74.83896750254738,4,Dawar,photos/Dawar_Res26_Dawar.jpeg
Dawar_Res#27,Dawar_Res#27_Addr,34.63267662046852,74.83149000944266,3,Dawar,photos/Dawar_Res27_Dawar.jpeg
Dawar_Res#28,Dawar_Res#28_Addr,34.63394562918732,74.83994694987798,7,Dawar,photos/Dawar_Res28_Dawar.jpeg
Dawar_Res#29,Dawar_Res#29_Addr,34.630595161970405,74.82765923560238,8,Dawar,photos/Dawar_Res29_Dawar.jpeg
Dawar_Res#30,Dawar_Res#30_Addr,34.633465875974046,74.83630395883594,6,Dawar,photos/Dawar_Res30_Dawar.jpeg
Dawar_Res#31,Dawar_Res#31_Addr,34.63286327188941,74.83338955957849,5,Dawar,photos/Dawar_Res31_Dawar.jpeg
Dawar_Res#32,Dawar_Res#32_Addr,34.63307026267282,74.83179206422649,5,Dawar,photos/Dawar_Res32_Dawar.jpeg
Dawar_Res#33,Dawar_Res#33_Addr,34.63261629846632,74.82689960042289,4,Dawar,photos/Dawar_Res33_Dawar.jpeg
Dawar_Res#34,Dawar_Res#34_Addr,34.63404081562539,74.83590946246612,5,Dawar,photos/Dawar_Res34_Dawar.jpeg
Dawar_Res#35,Dawar_Res#35_Addr,34.633960516578824,74.82687092370617,4,Dawar,photos/Dawar_Res35_Dawar.jpeg
Dawar_Res#36,Dawar_Res#36_Addr,34.63286193982306,74.83140666897633,5,Dawar,photos/Dawar_Res36_Dawar.jpeg
Dawar_Res#37,Dawar_Res#37_Addr,34.632745851896736,74.82798939402294,5,Dawar,photos/Dawar_Res37_Dawar.jpeg
Dawar_Res#38,Dawar_Res#38_Addr,34.63173015725024,74.83768523127074,5,Dawar,photos/Dawar_Res38_Dawar.jpeg
Dawar_Res#39,Dawar_Res#39_Addr,34.63428608112507,74.84090134653744,5,Dawar,photos/Dawar_Res39_Dawar.jpeg
Dawar_Res#40,Dawar_Res#40_Addr,34.63210590315074,74.8415776008169,7,Dawar,photos/Dawar_Res40_Dawar.jpeg
Dawar_Res#41,Dawar_Res#41_Addr,34.63200794891875,74.83916396199717,3,Dawar,photos/Dawar_Res41_Dawar.jpeg
Dawar_Res#42,Dawar_Res#42_Addr,34.63193775833261,74.83865592318409,5,Dawar,photos/Dawar_Res42_Dawar.jpeg
Dawar_Res#43,Dawar_Res#43_Addr,34.63339553249512,74.82833258501229,4,Dawar,photos/Dawar_Res43_Dawar.jpeg
Dawar_Res#44,Dawar_Res#44_Addr,34.631728781645414,74.83900641028815,3,Dawar,photos/Dawar_Res44_Dawar.jpeg
Dawar_Res#45,Dawar_Res#45_Addr,34.632672442849305,74.83941922100381,7,Dawar,photos/Dawar_Res45_Dawar.jpeg
Dawar_Res#46,Dawar_Res#46_Addr,34.631784534659424,74.83354226072876,7,Dawar,photos/Dawar_Res46_Dawar.jpeg
Dawar_Res#47,Dawar_Res#47_Addr,34.63245443718079,74.83828962334469,8,Dawar,photos/Dawar_Res47_Dawar.jpeg
Dawar_Res#48,Dawar_Res#48_Addr,34.633379199294616,74.83737781410102,6,Dawar,photos/Dawar_Res48_Dawar.jpeg
Dawar_Res#49,Dawar_Res#49_Addr,34.633574197320264,74.84178266570937,5,Dawar,photos/Dawar_Res49_Dawar.jpeg
Dawar_Res#50,Dawar_Res#50_Addr,34.633395702322986,74.83494614506867,5,Dawar,photos/Dawar_Res50_Dawar.jpeg
Dawar_Res#51,Dawar_Res#51_Addr,34.6310980790401,74.84118834818119,8,Dawar,photos/Dawar_Res51_Dawar.jpeg
Dawar_Res#52,Dawar_Res#52_Addr,34.633277164052465,74.83905906773262,5,Dawar,photos/Dawar_Res52_Dawar.jpeg
Dawar_Res#53,Dawar_Res#53_Addr,34.63340599983312,74.8260959830982,6,Dawar,photos/Dawar_Res53_Dawar.jpeg
Dawar_Res#54,Dawar_Res#54_Addr,34.63308756289095,74.82670032162845,5,Dawar,photos/Dawar_Res54_Dawar.jpeg
Dawar_Res#55,Dawar_Res#55_Addr,34.634269156253055,74.83052025627192,3,Dawar,photos/Dawar_Res55_Dawar.jpeg
Dawar_Res#56,Dawar_Res#56_Addr,34.633183607572086,74.83986832422481,7,Dawar,photos/Dawar_Res56_Dawar.jpeg
Dawar_Res#57,Dawar_Res#57_Addr,34.63134516212229,74.83730830127091,6,Dawar,photos/Dawar_Res57_Dawar.jpeg
Dawar_Res#58,Dawar_Res#58_Addr,34.633399098272065,74.82909324860444,8,Dawar,photos/Dawar_Res58_Dawar.jpeg
Dawar_Res#59,Dawar_Res#59_Addr,34.63395283361037,74.82481696830342,3,Dawar,photos/Dawar_Res59_Dawar.jpeg
Dawar_Res#60,Dawar_Res#60_Addr,34.63282228560686,74.83794013462159,4,Dawar,photos/Dawar_Res60_Dawar.jpeg
Achoora_Res#1,Achoora_Res#1_Addr,34.63568726868763,74.86917692989934,4,Achoora,photos/Achoora_Res1_Achoora.jpeg
Achoora_Res#2,Achoora_Res#2_Addr,34.63185884523072,74.86987689062447,7,Achoora,photos/Achoora_Res2_Achoora.jpeg
Achoora_Res#3,Achoora_Res#3_Addr,34.63369634563177,74.86968384152487,8,Achoora,photos/Achoora_Res3_Achoora.jpeg
Achoora_Res#4,Achoora_Res#4_Addr,34.63667126664459,74.87156594054609,8,Achoora,photos/Achoora_Res4_Achoora.jpeg
Achoora_Res#5,Achoora_Res#5_Addr,34.629914573097786,74.87156144769492,9,Achoora,photos/Achoora_Res5_Achoora.jpeg
Achoora_Res#6,Achoora_Res#6_Addr,34.632049984708445,74.87047790095224,3,Achoora,photos/Achoora_Res6_Achoora.jpeg
Achoora_Res#7,Achoora_Res#7_Addr,34.62961868740231,74.87144038517248,7,Achoora,photos/Achoora_Res7_Achoora.jpeg
Achoora_Res#8,Achoora_Res#8_Addr,34.63277813302639,74.8696763692464,8,Achoora,photos/Achoora_Res8_Achoora.jpeg
Achoora_Res#9,Achoora_Res#9_Addr,34.63646411956514,74.86954045921246,4,Achoora,photos/Achoora_Res9_Achoora.jpeg
Achoora_Res#10,Achoora_Res#10_Addr,34.63118183087539,74.87187330893696,6,Achoora,photos/Achoora_Res10_Achoora.jpeg
